year,downComp,upComp
1926,23,61
1927,11,73
1928,7,78
1929,50,37
1930,80,7
1931,87,0
1932,58,30
1933,14,74
1934,56,33
1935,14,76
1936,8,82
1937,90,0
1938,12,78
1939,56,33
1940,70,18
1941,53,25
1942,18,72
1943,2,88
1944,3,74
1945,0,86
1946,64,25
1947,45,40
1948,36,53
1949,13,76
1950,11,74
1951,13,74
1952,15,75
1953,43,43
1954,0,86
1955,13,78
1956,39,52
1957,55,34
1958,4,477
1959,154,336
1960,262,223
1961,62,421
1962,366,123
1963,62,418
1964,86,397
1965,91,387
1966,362,121
1967,55,424
1968,90,373
1969,382,103
1970,194,277
1971,135,356
1972,166,320
1973,386,94
1974,417,69
1975,36,443
1976,43,397
1977,276,216
1978,196,290
1979,77,409
1980,81,403
1981,227,253
1982,109,363
1983,72,407
1984,217,244
1985,61,411
1986,130,342
1987,229,244
1988,101,374
1989,97,373
1990,318,169
1991,80,411
1992,136,355
1993,139,350
1994,253,229
1995,54,419
1996,106,369
1997,82,387
1998,182,278
1999,231,226
2000,191,255
2001,245,223
2002,339,137
2003,31,460
2004,109,372
2005,186,297
2006,100,367
2007,223,239
2008,440,25
2009,51,420
2010,95,389
2011,235,245
2012,83,398
2013,31,450
2014,105,380
2015,243,234
2016,112,364
2017,99,377
2018,303,178
2019,45,438
2020,181,307
2021,56,418
